"code";"x";"y";"num_regime";"hydro_regime"
"K306031001";"736703.4079";"6557898.9";"3";"PC"
"K307401001";"735021.0206";"6559811.533";"1";"P"
"K313000200";"732537";"6570634";"1";"P"
"K315301001";"726054.3123";"6574674.98";"1";"P"
"K322020000";"685188.2";"6531128";"3";"PC"
"K322021001";"686812.9951";"6518454.612";"3";"PC"
"K322201001";"688274.7959";"6525935.457";"3";"PC"
"K323030000";"670387.8";"6525153.8";"1";"P"
"K326400000";"671995.5";"6531584.7";"3";"PC"
"K326401002";"674722.0222";"6530146.003";"3";"PC"
"K327301001";"677034.1637";"6531825.079";"2";"PC"
"K329202001";"684209.9779";"6541556.249";"1";"P"
"K329304201";"682168.9333";"6536477.809";"1";"P"
"K330201001";"692455.416";"6547781.727";"1";"P"
"K332201001";"707323.5477";"6557347.817";"1";"P"
"K333030000";"693794.5";"6568318.8";"2";"PC"
"K335000100";"699330.5658";"6575192.098";"1";"P"
"K337301001";"717453.629";"6573748.48";"2";"PC"
"K337471001";"715336.9633";"6571568.186";"1";"P"
"K338201001";"722893.5006";"6578998.129";"1";"P"
"K340081001";"724478.2787";"6589176.339";"1";"P"
"K345081001";"724917";"6606873";"1";"P"
"K346400000";"716190.5";"6604020.3";"1";"P"
"K346401001";"722145.125";"6608680.222";"1";"P"
"K352008000";"717468.3";"6617746.2";"1";"P"
"K353301001";"710403.5278";"6614474.807";"1";"P"
"K355301001";"711355.0341";"6620661.83";"2";"PC"
"K357081010";"703629.2174";"6628720.684";"1";"P"
"K360301001";"700283.1883";"6622953.495";"1";"P"
"K365081001";"705317";"6649373";"1";"P"
"K400001010";"705468.0819";"6657182.989";"2";"PC"
"K401301001";"694864.0331";"6643883.075";"1";"P"
"K403001010";"701023.6077";"6675207.105";"3";"PC"
"K404401001";"702285.8233";"6682690.831";"1";"P"
"K407031000";"694743.6";"6669897.8";"4";"PTC"
"K407311001";"692118.5932";"6685674.065";"1";"P"
"K408001001";"690085.1255";"6693385.482";"3";"PC"
"K409401001";"699792.4272";"6695102.647";"1";"P"
"K412301001";"698766.1043";"6715596.335";"1";"P"
"K415001010";"682329.5645";"6721730.182";"2";"PC"
"K418001201";"672308";"6731473";"1";"P"
"K419400000";"672610.6";"6718162.6";"1";"P"
"K425030000";"649240.3";"6740287.3";"1";"P"
"K428000201";"648880.9643";"6748792.385";"1";"P"
"K428031000";"644388";"6750210.1";"1";"P"
"K430002010";"634622.0786";"6752509.78";"2";"PC"
"K435001020";"619860.9901";"6755930.809";"2";"PC"
"K437031000";"628798.8";"6746262.6";"1";"P"
"K438311001";"621013.2375";"6750325.05";"1";"P"
"K439030000";"613314";"6753118.6";"1";"P"
"K440000000";"602841.4";"6747754.9";"2";"PC"
"K441409001";"602302.5129";"6747483.622";"1";"P"
"K444301001";"599849.2632";"6740908.746";"1";"P"
"K445000000";"589369.5";"6731434";"1";"P"
"K447001001";"575006.8007";"6721729.846";"1";"P"
"K447311001";"568014";"6714137";"1";"P"
"K455000101";"618660.6295";"6719966.26";"1";"P"
"K456400000";"611740.5";"6718762.1";"1";"P"
"K457221001";"602731.4327";"6715103.395";"1";"P"
"K466031000";"595439.5";"6716151.3";"4";"PTC"
"K467000201";"587154.6558";"6716532.215";"1";"P"
"K468000100";"588491.7779";"6711220.264";"1";"P"
"K469022000";"571467.7";"6711702.6";"1";"P"
"K473000101";"619730.171";"6736677.146";"1";"P"
"K478000201";"577200.9005";"6721211.917";"1";"P"
"K478030000";"600082.9";"6729406.9";"1";"P"
"K479301001";"572870.9868";"6717250.891";"1";"P"
"K480001001";"563725.7826";"6711031.639";"2";"PC"
"K481400000";"555409.5";"6703302.6";"1";"P"
"K483000100";"571635.4171";"6734672.699";"1";"P"
"K483015000";"569761.5";"6728194.9";"1";"P"
"K484000102";"567340.5067";"6717738.216";"1";"P"
"K485300001";"546694.4774";"6705777.592";"1";"P"
"K487312002";"541921.2868";"6720606.192";"4";"PTC"
"K488031100";"537379.3";"6704092";"4";"PTC"
"K490003102";"525380.8787";"6702257.315";"2";"PC"
"K497000200";"511866.0726";"6707890.557";"1";"P"
"K505000101";"666683.4516";"6560387.844";"1";"P"
"K505009000";"666522.2";"6560585";"2";"PC"
"K508301001";"667813.5299";"6564075.233";"1";"P"
"K509090001";"665316.6404";"6564196.455";"1";"P"
"K510000200";"645253.8517";"6538512.046";"1";"P"
"K514031000";"640197.8";"6562298.8";"2";"PC"
"K514311001";"642955.4544";"6566582.082";"2";"PC"
"K514311500";"642869.4141";"6557986.037";"2";"PC"
"K515000100";"642106.4157";"6567322.368";"2";"PC"
"K518302002";"657230.7244";"6565063.418";"2";"PC"
"K518302100";"658461.6958";"6563083.895";"2";"PC"
"K520090201";"664178.1956";"6571400.004";"2";"PC"
"K522090001";"669439.8719";"6579248.893";"2";"PC"
"K522090003";"669369.3644";"6582746.909";"2";"PC"
"K523401001";"667440.0372";"6590956.394";"1";"P"
"K525009000";"670464.1";"6603966";"1";"P"
"K531301001";"688079.79";"6597677.068";"1";"P"
"K533311001";"692403.7758";"6600937.645";"2";"PC"
"K534321001";"681130.2052";"6579250.451";"1";"P"
"K534591100";"681395.7553";"6576841.96";"2";"PC"
"K536322001";"686775.8902";"6597088.539";"1";"P"
"K536322201";"686622.1264";"6590694.743";"1";"P"
"K538302101";"675037.6069";"6603282.089";"1";"P"
"K540092001";"661133.8694";"6625281.459";"1";"P"
"K542401001";"676005.0391";"6623257.922";"1";"P"
"K543030000";"668830.4";"6624878";"2";"PC"
"K543302001";"671225.1509";"6625196.939";"1";"P"
"K543302101";"675424.8925";"6625560.98";"1";"P"
"K544000201";"659747.2748";"6617150.089";"1";"P"
"K545009000";"656418.5";"6629908.4";"2";"PC"
"K548091010";"647712";"6639892";"2";"PC"
"K548092010";"642597.3297";"6654914.355";"2";"PC"
"K549090001";"629218.0227";"6680007.508";"1";"P"
"K551000100";"673505.2856";"6660341.791";"4";"PTC"
"K554301001";"668093.5513";"6656798.307";"2";"PC"
"K555023000";"663965.1";"6663970.5";"2";"PC"
"K555230001";"666931.5173";"6661204.705";"4";"PTC"
"K557410001";"656109.4282";"6669489.711";"4";"PTC"
"K562301001";"673397.3049";"6633971.413";"1";"P"
"K565301001";"658026.3607";"6659780.688";"1";"P"
"K565301100";"662537.9466";"6654688.416";"1";"P"
"K566000100";"654514.3565";"6659690.457";"2";"PC"
"K570232001";"650877.6713";"6665236.907";"1";"P"
"K571231001";"636983.1432";"6676544.673";"1";"P"
"K573030000";"638297.9";"6678903.9";"1";"P"
"K602242001";"652272.6715";"6617162.724";"1";"P"
"K602242101";"648745.6461";"6601704.49";"1";"P"
"K606301001";"637359";"6619505";"2";"PC"
"K607240010";"637278.7803";"6628379.707";"1";"P"
"K608000100";"641988.6412";"6631657.676";"1";"P"
"K610243001";"633704";"6642608";"1";"P"
"K610243201";"636569.1013";"6639076.931";"2";"PC"
"K611240010";"633207.7384";"6655292.852";"1";"P"
"K612311011";"620463.2645";"6637919.608";"2";"PC"
"K612311100";"624167.3053";"6632980.986";"2";"PC"
"K612311200";"628578.2021";"6633590.009";"2";"PC"
